trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1962796_b_33141_tn_0,17:30:00,17:30:00,768582,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768329,2,,0,0,812.052786053942,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768475,3,,0,0,2092.56336205833,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768341,4,,0,0,2574.02041939463,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768330,5,,0,0,3697.64166942298,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768420,6,,0,0,5532.7983525181,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,17:46:00,17:46:00,768208,7,,0,0,6735.70832972755,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768209,8,,0,0,7822.04138629392,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,781923,9,,0,0,9976.57328626087,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,781924,10,,0,0,10994.3435495329,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768298,11,,0,0,13899.8274146614,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768185,12,,0,0,14838.920497242,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768406,13,,0,0,15419.0640603633,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768407,14,,0,0,15791.9011840822,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,18:01:00,18:01:00,768370,15,,0,0,16776.1773002805,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768401,16,,0,0,17484.2314066436,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768394,17,,0,0,17769.5474348429,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768379,18,,0,0,18295.3411514522,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768383,19,,0,0,18910.0135322339,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768380,20,,0,0,19120.3257715282,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768402,21,,0,0,19395.0252514237,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768389,22,,0,0,19837.7128198709,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768375,23,,0,0,20369.6089623035,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768397,24,,0,0,20759.5856191716,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,18:13:00,18:13:00,781925,25,,0,0,21007.9606142339,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768174,26,,0,0,22483.6062537251,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768382,27,,0,0,23170.8884779712,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768175,28,,0,0,23495.1972957824,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,18:21:00,18:21:00,768373,29,,0,0,24159.6541012415,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768176,30,,0,0,24622.8652735391,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768405,31,,0,0,25078.2100189918,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,,,768408,32,,0,0,25931.8819150115,0,,,,,1,1,,,,,,,,,,,
t_1962796_b_33141_tn_0,18:25:00,18:25:00,768177,33,,0,0,26873.43652812,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,17:00:00,17:00:00,768584,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768450,2,,0,0,691.863961684229,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,17:04:00,17:04:00,768458,3,,0,0,1179.92948679888,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768475,4,,0,0,2739.32626954125,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768341,5,,0,0,3220.78332687756,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,17:11:00,17:11:00,768321,6,,0,0,4509.73630678994,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768293,7,,0,0,6438.84825773613,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,17:17:00,17:17:00,781953,8,,0,0,7734.98331294659,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,781954,9,,0,0,8771.88302247415,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,17:26:00,17:26:00,768525,10,,0,0,10156.8138881281,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768507,11,,0,0,10868.659521462,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768490,12,,0,0,11191.3254374839,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768499,13,,0,0,11786.3921048244,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,781912,14,,0,0,12022.5283865779,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768553,15,,0,0,12269.8533605884,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,17:31:00,17:31:00,768547,16,,0,0,12646.0098733576,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768362,17,,0,0,12843.4939377175,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768360,18,,0,0,13389.7589985139,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,17:37:00,17:37:00,768322,19,,0,0,14655.3784260284,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768536,20,,0,0,16123.4504288204,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768278,21,,0,0,16970.3762295772,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,17:45:00,17:45:00,768247,22,,0,0,17702.1510271867,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768449,23,,0,0,18110.2003624622,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768253,24,,0,0,18380.7071908475,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,17:49:00,17:49:00,768582,25,,0,0,18777.5520956651,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,781932,26,,0,0,19087.6752981907,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768279,27,,0,0,19774.5925131492,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,781933,28,,0,0,20080.9629290913,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768295,29,,0,0,20250.492627388,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768509,30,,0,0,20598.763339767,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768506,31,,0,0,20801.4801763986,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768570,32,,0,0,21150.4390413004,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,17:56:00,17:56:00,768419,33,,0,0,21427.6698208685,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768160,34,,0,0,21741.4539485192,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768528,35,,0,0,22676.8275629524,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768245,36,,0,0,23225.714267457,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768517,37,,0,0,23572.1023762435,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,18:03:00,18:03:00,835719,38,,0,0,24235.2226067618,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768557,39,,0,0,24694.6665243141,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,,,768561,40,,0,0,25238.816133341,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,18:07:00,18:07:00,781935,41,,0,0,26072.873589715,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_1,18:13:00,18:13:00,768584,42,,0,0,27281.50572349,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_2,17:30:00,17:30:00,768584,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_2,,,768450,2,,0,0,691.863961684229,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_2,17:34:00,17:34:00,768458,3,,0,0,1179.92948679888,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_2,,,768475,4,,0,0,2739.32626954125,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_2,,,768341,5,,0,0,3220.78332687756,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_2,17:41:00,17:41:00,768321,6,,0,0,4509.73630678994,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_2,,,768293,7,,0,0,6438.84825773613,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_2,17:47:00,17:47:00,781953,8,,0,0,7734.98331294659,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_2,,,781954,9,,0,0,8771.88302247415,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_2,17:56:00,17:56:00,768525,10,,0,0,10156.8138881281,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_2,,,768507,11,,0,0,10868.659521462,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_2,,,768490,12,,0,0,11191.3254374839,0,,,,,1,1,,,,,,,,,,,
t_1962797_b_33141_tn_2,,,768499,13,,0,0,11786.3921048244,0,,,,,1,1,,,,,,,,,,,
