route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,agency_raw_name,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,arrival_h,arrival_m,departure_h,departure_m,tod,trip_num_x,trip_num_y,trip_num
5892,4,201546,3401-ALPINE-HOLMAN-MORADA,0,24432,26147,sjrtd_2015_0127,54600.0,54600.0,3071,1,,0,0,,15,10,15,10,PM,1,,1.0
5892,4,201547,3402-HOLMAN-ALPINE-FARM,1,24435,26148,sjrtd_2015_0127,22140.0,22140.0,1691,1,,0,0,,6,9,6,9,AM,1,,1.0
5893,4,201549,3453-KERMIT-HAMMER-KAISER,0,24436,26149,sjrtd_2015_0127,23220.0,23220.0,2854,1,,0,0,,6,27,6,27,AM,2,,2.0
5893,4,201550,3452-TAM OSHANTER-KERMIT-MALLS,1,24436,26150,sjrtd_2015_0127,25800.0,25800.0,3079,1,,0,0,,7,10,7,10,AM,2,,2.0
5893,4,201552,3452-TAM O'SHANTER-KERMIT-MALLS,1,24437,26151,sjrtd_2015_0127,52560.0,52560.0,2808,1,,0,0,,14,36,14,36,MD,1,,1.0
5894,4,201553,3601-ALPINE-HOLMAN,0,24438,26153,sjrtd_2015_0127,24000.0,24000.0,2087,1,,0,0,,6,40,6,40,AM,1,,1.0
5894,4,201554,3602-SANGUINETTI-CHEROKEE-DTC,1,24574,26154,sjrtd_2015_0127,52680.0,52680.0,2808,1,,0,0,,14,38,14,38,MD,1,,1.0
5895,4,201555,3652-SWAIN-KELLEY-DON-OTTO,0,24571,26157,sjrtd_2015_0127,23100.0,23100.0,2540,1,,0,0,,6,25,6,25,AM,2,,2.0
5895,4,201558,3652-SWAIN-KELLEY-DON-OTTO,0,24572,26157,sjrtd_2015_0127,57300.0,57300.0,2540,1,,0,0,,15,55,15,55,PM,4,,4.0
5895,4,201562,3652-SWAIN-KELLEY-DON-OTTO,1,24571,26158,sjrtd_2015_0127,24060.0,24060.0,1784,1,,0,0,,6,41,6,41,AM,3,,3.0
5895,4,202886,3652-SWAIN-KELLEY-DON-OTTO,1,24572,26158,sjrtd_2015_0127,62760.0,62760.0,1784,1,,0,0,,17,26,17,26,PM,3,,3.0
5896,4,201569,3751-CALWORKS-CHEROKEE-HOLMAN-MORADA,0,24443,26161,sjrtd_2015_0127,24000.0,24000.0,2491,1,,0,0,,6,40,6,40,AM,1,,1.0
5896,4,201570,3751-CALWORKS-CHEROKEE-HOLMAN-MORADA,0,24442,26161,sjrtd_2015_0127,55200.0,55200.0,2491,1,,0,0,,15,20,15,20,PM,3,,3.0
5896,4,201573,3752-HOLMAN-CHEROKEE-DTC,1,24443,26163,sjrtd_2015_0127,26100.0,26100.0,3079,1,,0,0,,7,15,7,15,AM,1,,1.0
5896,4,201574,,1,24442,26164,sjrtd_2015_0127,52200.0,52200.0,3079,1,,0,0,,14,30,14,30,MD,1,,1.0
5896,4,201572,MORADA-HAMMER,1,24442,26165,sjrtd_2015_0127,62700.0,62700.0,3079,1,,0,0,,17,25,17,25,PM,3,,3.0
5897,4,201576,3802-AIRPORT WAY-10TH STREET,0,24444,26166,sjrtd_2015_0127,51300.0,51300.0,3071,1,,0,0,,14,15,14,15,MD,2,,2.0
5897,4,201578,3802-AIRPORT WAY-10TH STREET,1,24446,26167,sjrtd_2015_0127,23460.0,23460.0,3031,1,,0,0,,6,31,6,31,AM,2,,2.0
5898,4,201580,3901-POCK-ORO/FARM-DTC,0,24574,26169,sjrtd_2015_0127,55200.0,55200.0,2493,1,,0,0,,15,20,15,20,PM,1,,1.0
5898,4,201581,3902-FARM-TOGNINALI-FRONTAGE 99,1,24443,26170,sjrtd_2015_0127,21660.0,21660.0,3057,1,,0,0,,6,1,6,1,AM,1,,1.0
5899,4,201602,401-METRO EXPRESS-PACIFIC AVENUE,0,24454,26171,sjrtd_2015_0127,21420.0,21420.0,2988,1,,0,0,,5,57,5,57,EA,1,1.0,1.0
5899,4,201582,401-METRO EXPRESS-PACIFIC AVENUE,0,24448,26171,sjrtd_2015_0127,22800.0,22800.0,2988,1,,0,0,,6,20,6,20,AM,21,,21.0
5899,4,201616,401-METRO EXPRESS-PACIFIC AVENUE,0,24455,26171,sjrtd_2015_0127,36300.0,36300.0,2988,1,,0,0,,10,5,10,5,MD,30,,30.0
5899,4,201638,401-METRO EXPRESS-PACIFIC AVENUE,0,24455,26171,sjrtd_2015_0127,54300.0,54300.0,2988,1,,0,0,,15,5,15,5,PM,13,,13.0
5899,4,201647,401-METRO EXPRESS-PACIFIC AVENUE,0,24460,26171,sjrtd_2015_0127,68400.0,68400.0,2988,1,,0,0,,19,0,19,0,NT,6,6.0,6.0
5899,4,201692,402-METRO EXPRESS-DTC,1,24452,26173,sjrtd_2015_0127,20100.0,20100.0,2540,1,,0,0,,5,35,5,35,EA,2,2.0,2.0
5899,4,201696,402-METRO EXPRESS- DTC,1,24455,26172,sjrtd_2015_0127,23640.0,23640.0,2540,1,,0,0,,6,34,6,34,AM,22,,22.0
5899,4,201682,402-METRO EXPRESS- DTC,1,24452,26172,sjrtd_2015_0127,36600.0,36600.0,2540,1,,0,0,,10,10,10,10,MD,30,,30.0
5899,4,201666,402-METRO EXPRESS-DTC,1,24450,26173,sjrtd_2015_0127,54000.0,54000.0,2540,1,,0,0,,15,0,15,0,PM,15,,15.0
5899,4,201722,402-METRO EXPRESS- DTC,1,24461,26172,sjrtd_2015_0127,68400.0,68400.0,2540,1,,0,0,,19,0,19,0,NT,6,6.0,6.0
5900,4,201842,431-METRO EXPRESS-HOLMAN,0,24469,26174,sjrtd_2015_0127,19500.0,19500.0,1175,1,,0,0,,5,25,5,25,EA,2,2.0,2.0
5900,4,201844,431-METRO EXPRESS-HOLMAN,0,24469,26174,sjrtd_2015_0127,22500.0,22500.0,1175,1,,0,0,,6,15,6,15,AM,15,,15.0
5900,4,201859,431-METRO EXPRESS-HOLMAN,0,24472,26174,sjrtd_2015_0127,36300.0,36300.0,1175,1,,0,0,,10,5,10,5,MD,20,,20.0
5900,4,201879,431-METRO EXPRESS-HOLMAN,0,24472,26174,sjrtd_2015_0127,54300.0,54300.0,1175,1,,0,0,,15,5,15,5,PM,11,,11.0
5900,4,201891,432-METRO EXPRESS-MARINERS,1,24470,26175,sjrtd_2015_0127,19500.0,19500.0,2541,1,,0,0,,5,25,5,25,EA,2,2.0,2.0
5900,4,201893,432-METRO EXPRESS-MARINERS,1,24470,26175,sjrtd_2015_0127,22500.0,22500.0,2541,1,,0,0,,6,15,6,15,AM,15,,15.0
5900,4,201908,432-METRO EXPRESS-MARINERS,1,24471,26175,sjrtd_2015_0127,36300.0,36300.0,2541,1,,0,0,,10,5,10,5,MD,20,,20.0
5900,4,201931,432-METRO EXPRESS-MARINERS,1,24471,26175,sjrtd_2015_0127,54300.0,54300.0,2541,1,,0,0,,15,5,15,5,PM,12,,12.0
5900,4,201940,432-METRO EXPRESS-MARINERS,1,24469,26175,sjrtd_2015_0127,69300.0,69300.0,2541,1,,0,0,,19,15,19,15,NT,1,1.0,1.0
5901,4,202025,441-METRO EXPRESS- DTC,0,24448,26177,sjrtd_2015_0127,21900.0,21900.0,3215,1,,0,0,,6,5,6,5,AM,12,,12.0
5901,4,202049,441-METRO EXPRESS- DTC,0,24453,26177,sjrtd_2015_0127,36000.0,36000.0,3215,1,,0,0,,10,0,10,0,MD,15,,15.0
5901,4,202041,441-METRO EXPRESS- DTC,0,24460,26177,sjrtd_2015_0127,54000.0,54000.0,3215,1,,0,0,,15,0,15,0,PM,9,,9.0
5901,4,202026,441-METRO EXPRESS- DTC,0,24450,26177,sjrtd_2015_0127,70500.0,70500.0,3215,1,,0,0,,19,35,19,35,NT,1,1.0,1.0
5901,4,202062,442-METRO EXPRESS-RALPH-8TH ST,1,24448,26180,sjrtd_2015_0127,21420.0,21420.0,634,1,,0,0,,5,57,5,57,EA,1,1.0,1.0
5901,4,202072,442-METRO EXPRESS-RALPH-8TH ST,1,24452,26178,sjrtd_2015_0127,21660.0,21660.0,2497,1,,0,0,,6,1,6,1,AM,13,,13.0
5901,4,202080,442-METRO EXPRESS-RALPH-8TH ST,1,24454,26178,sjrtd_2015_0127,36780.0,36780.0,2497,1,,0,0,,10,13,10,13,MD,15,,15.0
5901,4,202085,442-METRO EXPRESS-RALPH-8TH ST,1,24462,26178,sjrtd_2015_0127,54780.0,54780.0,2497,1,,0,0,,15,13,15,13,PM,9,,9.0
5901,4,202070,442-METRO EXPRESS-RALPH-8TH ST,1,24450,26178,sjrtd_2015_0127,69000.0,69000.0,2497,1,,0,0,,19,10,19,10,NT,1,1.0,1.0
5903,4,202220,521-CALIFORNIA-WEST LANE-KAISER,0,24632,26188,sjrtd_2015_0127,23400.0,23400.0,1,1,,0,0,,6,30,6,30,AM,5,,5.0
5903,4,202224,521-CALIFORNIA-WEST LANE-KAISER,0,24632,26188,sjrtd_2015_0127,37920.0,37920.0,1,1,,0,0,,10,32,10,32,MD,5,,5.0
5903,4,202229,521-CALIFORNIA-WEST LANE-KAISER,0,24633,26188,sjrtd_2015_0127,56280.0,56280.0,1,1,,0,0,,15,38,15,38,PM,3,,3.0
5903,4,202233,522-CALIFORNIA-MANTHEY-HONOR FARM,1,24633,26190,sjrtd_2015_0127,23100.0,23100.0,964,1,,0,0,,6,25,6,25,AM,4,,4.0
5903,4,202237,522-CALIFORNIA-MANTHEY-HONOR FARM,1,24633,26190,sjrtd_2015_0127,37800.0,37800.0,964,1,,0,0,,10,30,10,30,MD,5,,5.0
5903,4,202242,522-CALIFORNIA-MANTHEY-HONOR FARM,1,24632,26190,sjrtd_2015_0127,56100.0,56100.0,964,1,,0,0,,15,35,15,35,PM,3,,3.0
5904,4,202245,541-LINCOLN-AMTRAK STATION-DTC,0,24490,26192,sjrtd_2015_0127,21000.0,21000.0,3296,1,,0,0,,5,50,5,50,EA,1,1.0,1.0
5904,4,202246,541-LINCOLN-AMTRAK STATION-DTC,0,24490,26192,sjrtd_2015_0127,23940.0,23940.0,3296,1,,0,0,,6,39,6,39,AM,4,,4.0
