agency_raw_name,shape_id,shape_osm_node_id,shape_shst_node_id,shape_pt_sequence,osm_node_id,shst_node_id,shape_pt_lat,shape_pt_lon,shape_model_node_id
The Bus,p_3370,89467718,4f37d4ccf096f054d2512e35fa6b3efc,35,89467718.0,4f37d4ccf096f054d2512e35fa6b3efc,37.356048,-120.61245600000001,
The Bus,p_3370,89467716,735e7a32dc4daf569e68374931e3a90d,36,89467716.0,735e7a32dc4daf569e68374931e3a90d,37.355624,-120.61250000000001,
The Bus,p_3370,89500767,40c594d7a1d4fce266f4180125df7f11,37,89500767.0,40c594d7a1d4fce266f4180125df7f11,37.355724,-120.613798,
The Bus,p_3370,89509298,cef6213390f2f4394a2e13d93fdb39b6,38,89509298.0,cef6213390f2f4394a2e13d93fdb39b6,37.358097,-120.61382900000001,
The Bus,p_3370,89509301,95ed3858c7733831b3236a01ce00178e,39,89509301.0,95ed3858c7733831b3236a01ce00178e,37.358443,-120.61383300000001,
The Bus,p_3370,89409583,dd49f89cf9e044a1e97b3de063245223,40,89409583.0,dd49f89cf9e044a1e97b3de063245223,37.360409000000004,-120.613905,
The Bus,p_3370,89409581,dbe0982fde339533e46cdf3b9627e99d,41,89409581.0,dbe0982fde339533e46cdf3b9627e99d,37.360423000000004,-120.61092900000001,
The Bus,p_3370,89409579,3a2045725040563e9ec66c9313aa3b91,42,89409579.0,3a2045725040563e9ec66c9313aa3b91,37.360428,-120.60897800000001,
The Bus,p_3370,89494840,0834f199c2f445b54fa777af5ed8719f,43,89494840.0,0834f199c2f445b54fa777af5ed8719f,37.360664,-120.608975,
The Bus,p_3370,89471305,319e7f4fcb7de8ad729272dfa7cf4fe4,44,89471305.0,319e7f4fcb7de8ad729272dfa7cf4fe4,37.360594,-120.60761900000001,
The Bus,p_3370,89494840,0834f199c2f445b54fa777af5ed8719f,45,89494840.0,0834f199c2f445b54fa777af5ed8719f,37.360664,-120.608975,
The Bus,p_3370,89409579,3a2045725040563e9ec66c9313aa3b91,46,89409579.0,3a2045725040563e9ec66c9313aa3b91,37.360428,-120.60897800000001,
