route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
1195,c_23877_b_33141_d_31,t_1962816_b_33141_tn_7,,,0,,p_3370,,,,,,,,,,,,
1195,c_23877_b_33141_d_31,t_1962816_b_33141_tn_11,,,0,,p_3370,,,,,,,,,,,,
1195,c_23877_b_33141_d_31,t_1962816_b_33141_tn_10,,,0,,p_3370,,,,,,,,,,,,
1195,c_23877_b_33141_d_31,t_1962816_b_33141_tn_1,,,0,,p_3370,,,,,,,,,,,,
1195,c_23877_b_33141_d_31,t_1962816_b_33141_tn_3,,,0,,p_3370,,,,,,,,,,,,
1195,c_23877_b_33141_d_31,t_1962816_b_33141_tn_8,,,0,,p_3370,,,,,,,,,,,,
1195,c_23877_b_33141_d_31,t_1962816_b_33141_tn_9,,,0,,p_3370,,,,,,,,,,,,
1195,c_23877_b_33141_d_31,t_1962819_b_33141_tn_0,,,0,,p_111306,,,,,,,,,,,,
1195,c_23877_b_33141_d_31,t_1962820_b_33141_tn_0,,,0,,p_111307,,,,,,,,,,,,
1195,c_23877_b_33141_d_31,t_1962816_b_33141_tn_2,,,0,,p_3370,,,,,,,,,,,,
1195,c_23877_b_33141_d_31,t_1962816_b_33141_tn_4,,,0,,p_3370,,,,,,,,,,,,
1195,c_23877_b_33141_d_31,t_1962816_b_33141_tn_5,,,0,,p_3370,,,,,,,,,,,,
1195,c_23877_b_33141_d_31,t_1962816_b_33141_tn_6,,,0,,p_3370,,,,,,,,,,,,
1195,c_23877_b_33141_d_96,t_1962821_b_33141_tn_0,,,0,,p_111308,,,,,,,,,,,,
1195,c_23877_b_33141_d_96,t_1962817_b_33141_tn_5,,,0,,p_111304,,,,,,,,,,,,
1195,c_23877_b_33141_d_96,t_1962817_b_33141_tn_6,,,0,,p_111304,,,,,,,,,,,,
1195,c_23877_b_33141_d_96,t_1962817_b_33141_tn_7,,,0,,p_111304,,,,,,,,,,,,
1195,c_23877_b_33141_d_96,t_1962817_b_33141_tn_8,,,0,,p_111304,,,,,,,,,,,,
1195,c_23877_b_33141_d_96,t_1962818_b_33141_tn_0,,,0,,p_111305,,,,,,,,,,,,
1195,c_23877_b_33141_d_96,t_1962817_b_33141_tn_1,,,0,,p_111304,,,,,,,,,,,,
1195,c_23877_b_33141_d_96,t_1962817_b_33141_tn_2,,,0,,p_111304,,,,,,,,,,,,
1195,c_23877_b_33141_d_96,t_1962817_b_33141_tn_3,,,0,,p_111304,,,,,,,,,,,,
1195,c_23877_b_33141_d_96,t_1962817_b_33141_tn_4,,,0,,p_111304,,,,,,,,,,,,
1196,c_23877_b_33141_d_31,t_1962826_b_33141_tn_0,,,0,,p_111313,,,,,,,,,,,,
1196,c_23877_b_33141_d_31,t_1962822_b_33141_tn_1,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_31,t_1962822_b_33141_tn_10,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_31,t_1962822_b_33141_tn_11,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_31,t_1962822_b_33141_tn_2,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_31,t_1962822_b_33141_tn_3,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_31,t_1962822_b_33141_tn_4,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_31,t_1962822_b_33141_tn_5,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_31,t_1962822_b_33141_tn_6,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_31,t_1962822_b_33141_tn_7,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_31,t_1962822_b_33141_tn_8,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_31,t_1962822_b_33141_tn_9,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_31,t_1962824_b_33141_tn_0,,,0,,p_111310,,,,,,,,,,,,
1196,c_23877_b_33141_d_31,t_1962827_b_33141_tn_0,,,0,,p_111311,,,,,,,,,,,,
1196,c_23877_b_33141_d_96,t_1962823_b_33141_tn_4,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_96,t_1962823_b_33141_tn_1,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_96,t_1962823_b_33141_tn_2,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_96,t_1962823_b_33141_tn_3,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_96,t_1962823_b_33141_tn_5,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_96,t_1962823_b_33141_tn_6,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_96,t_1962823_b_33141_tn_7,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_96,t_1962823_b_33141_tn_8,,,0,,p_111309,,,,,,,,,,,,
1196,c_23877_b_33141_d_96,t_1962825_b_33141_tn_0,,,0,,p_111310,,,,,,,,,,,,
1196,c_23877_b_33141_d_96,t_1962828_b_33141_tn_0,,,0,,p_111314,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962851_b_33141_tn_0,,,0,,p_111355,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962797_b_33141_tn_1,,,0,,p_111349,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962797_b_33141_tn_2,,,0,,p_111349,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_1,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_10,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_11,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_12,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_13,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_14,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_15,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_16,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_17,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_18,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_19,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_2,,,0,,p_111317,,,,,,,,,,,,
