leg_group_id,fare_leg_name,network_id,from_area_id,contains_area_id,to_area_id,is_symmetrical,from_timeframe_id,to_timeframe_id,min_distance,max_distance,distance_type,service_id,min_amount,max_amount,fare_product_id,fare_container_id,rider_category_id,eligible_cap_id,amount,currency
Merced,,intercity,567,,570,1,,,,,,,,,,,,,3,USD
Merced,,intercity,567,,572,1,,,,,,,,,,,,,3,USD
Merced,,intercity,568,,569,1,,,,,,,,,,,,,3,USD
Merced,,intercity,568,,570,1,,,,,,,,,,,,,3,USD
Merced,,intercity,568,,572,1,,,,,,,,,,,,,3,USD
Merced,,intercity,569,,570,1,,,,,,,,,,,,,3,USD
Merced,,intercity,569,,572,1,,,,,,,,,,,,,3,USD
Merced,,intercity,570,,572,1,,,,,,,,,,,,,3,USD
Merced,,intercity,,,,,,,,,,,,,day_intercity,,,,,
Merced,,intercity,,,,,,,,,,,,,7-day,,,,,
Merced,,intercity,,,,,,,,,,,,,31-day,,,,,
Merced,,intercity,,,,,,,,,,,,,31-day_student,,student,,,
Merced,,intercity,,,,,,,,,,,,,semester_student,,student,,,
